code	product_name	generic_name	countries
7892840823207	Fofura Presunto 60g	Salgadinho Fofura Sabor Presunto 60g	Brazil
7896239994301	Sacola Verde	Sacola Plástica Biodegradável Verde	Brazil
7898994194514	Piraquê Biscoito Redondo 70g	Biscoito Redondo Piraquê 70g	Brazil
7896326100219	Guaraviton Açaí 500ml	Bebida Mista de Guaraná e Açaí Guaraviton 500ml	Brazil
7898416780011	Biscoito de Polvilho Salgado 40g	Biscoito de Polvilho Sal 40g	Brazil
7892840822644	Salgadinho Torcida Queijo 60g	Salgadinho Torcida Sabor Queijo 60g	Brazil
7896312108021	Pirulito Pop Kiss Framboesa	Pirulito Pop Kiss Sabor Framboesa	Brazil
7891008121827	Chocolate Talento Amêndoas e Passas	Chocolate Garoto Talento Amêndoas e Passas	Brazil
7896423419276	M&Ms Tubo Colorido	Chocolate Confeitado M&Ms Tubo Color	Brazil
7896321041586	Goma Urso Flopi	Bala de Goma Formato Urso Flopi	Brazil
7896306625275	Chocolate Trento Dark	Wafer Recheado Trento Dark	Brazil
7896451902580	Bala Docigoma Mini	Bala de Goma Docigoma Mini Docile	Brazil
7898591450709	Gelatina Minhocas	Bala de Gelatina Formato Minhocas	Brazil
7895800304235	Goma de Mascar Trident Canela	Chiclete Trident Sem Açúcar Sabor Canela	Brazil
7896306623318	Bala Tribala Morango	Bala Mastigável Tribala Sabor Morango	Brazil
7896306623295	Bala Tribala Frutas Vermelhas	Bala Mastigável Tribala Sabor Frutas Vermelhas	Brazil
